Date,Filename,Original Size (B),Optimized To (B),Savings (%)
8/23/2014 2:12:40 AM,Content/Templates/41179/site/images/prettyPhoto/dark_rounded/default_thumbnail.gif,227,219,3.5
8/23/2014 2:12:40 AM,Content/Templates/41179/site/images/submenu-tail.gif,1495,294,80.3
8/23/2014 2:12:40 AM,Content/Templates/41179/site/images/search-input-tail.gif,1297,96,92.6
8/23/2014 2:12:40 AM,Content/Templates/41179/site/images/menu-tail.gif,1504,303,79.9
8/23/2014 2:12:40 AM,Content/Templates/41179/site/images/marker-2.gif,1236,35,97.2
8/23/2014 2:12:40 AM,Content/Templates/41179/site/images/list-border.gif,1236,35,97.2
8/23/2014 2:12:41 AM,Content/Templates/41179/site/images/footer-border.gif,1236,35,97.2
8/23/2014 2:12:41 AM,Content/Templates/41179/site/images/dashed-border.gif,1237,43,96.5
8/23/2014 2:12:41 AM,Content/Templates/41179/site/images/container-tail.gif,1331,130,90.2
8/23/2014 2:12:41 AM,Content/Templates/41179/site/images/button-tail.gif,1699,508,70.1
8/23/2014 2:12:41 AM,Content/Templates/41179/site/images/border.gif,1236,35,97.2
8/23/2014 2:12:41 AM,Content/Templates/41009/site/images/tail-ul.gif,1746,547,68.7
8/23/2014 2:12:41 AM,Content/Templates/41009/site/images/tail-ul-ul.gif,1742,543,68.8
8/23/2014 2:12:41 AM,Content/Templates/41009/site/images/part-date.gif,3239,2040,37
8/23/2014 2:12:41 AM,Content/Templates/41009/site/images/border-item.gif,1717,518,69.8
8/23/2014 2:12:41 AM,Content/Templates/40952/site/images/ui.totop.gif,2744,2736,0.3
8/23/2014 2:12:41 AM,Content/Templates/40952/site/images/test_span.gif,1109,1101,0.7
8/23/2014 2:12:42 AM,Content/Templates/40952/site/images/spacer.gif,43,43,0
8/23/2014 2:12:42 AM,Content/Templates/40952/site/images/nav_li.gif,136,128,5.9
8/23/2014 2:12:42 AM,Content/Templates/40952/site/images/nav_bg.gif,2736,2674,2.3
8/23/2014 2:12:42 AM,Content/Templates/40952/site/images/menu-bg2.gif,324,316,2.5
8/23/2014 2:12:42 AM,Content/Templates/40952/site/images/menu-bg1.gif,1942,1934,0.4
8/23/2014 2:12:42 AM,Content/Templates/40952/site/images/main-bg.gif,32141,32133,0
8/23/2014 2:12:42 AM,Content/Templates/40952/site/images/header_bg.gif,1897,1889,0.4
8/23/2014 2:12:42 AM,Content/Templates/40659/site/images/prettyPhoto/light_square/loader.gif,2545,2506,1.5
8/23/2014 2:12:42 AM,Content/Templates/40659/site/images/prettyPhoto/light_square/default_thumbnail.gif,227,219,3.5
8/23/2014 2:12:43 AM,Content/Templates/40659/site/images/prettyPhoto/light_rounded/loader.gif,2545,2506,1.5
8/23/2014 2:12:43 AM,Content/Templates/40659/site/images/prettyPhoto/light_rounded/default_thumbnail.gif,227,219,3.5
8/23/2014 2:12:43 AM,Content/Templates/40659/site/images/prettyPhoto/facebook/loader.gif,2545,2506,1.5
8/23/2014 2:12:43 AM,Content/Templates/40659/site/images/prettyPhoto/facebook/default_thumbnail.gif,227,219,3.5
8/23/2014 2:12:43 AM,Content/Templates/40659/site/images/prettyPhoto/default/loader.gif,6331,4987,21.2
8/23/2014 2:12:43 AM,Content/Templates/40659/site/images/prettyPhoto/dark_square/loader.gif,2545,2506,1.5
8/23/2014 2:12:43 AM,Content/Templates/40659/site/images/prettyPhoto/dark_square/default_thumbnail.gif,227,219,3.5
8/23/2014 2:12:43 AM,Content/Templates/40659/site/images/prettyPhoto/dark_rounded/loader.gif,2545,2506,1.5
8/23/2014 2:12:43 AM,Content/Templates/40659/site/images/prettyPhoto/dark_rounded/default_thumbnail.gif,227,219,3.5
8/23/2014 2:12:44 AM,Content/Templates/40659/site/images/menu-icon-arrow.gif,1177,54,95.4
8/23/2014 2:12:44 AM,Content/Templates/40659/site/images/menu-arrow.gif,1255,105,91.6
8/23/2014 2:12:44 AM,Content/Templates/40659/site/images/marker-1.gif,1249,50,96
8/23/2014 2:12:44 AM,Content/Templates/40659/site/images/loading.gif,771,771,0
8/23/2014 2:12:44 AM,Content/Templates/40659/site/images/content-tail.gif,1323,192,85.5
8/23/2014 2:12:44 AM,Content/Templates/40654/site/images/quote-tail.gif,2059,858,58.3
8/23/2014 2:12:44 AM,Content/Templates/40654/site/images/quote-bottom.gif,1544,348,77.5
8/23/2014 2:12:44 AM,Content/Templates/40654/site/images/menu-arrow.gif,1177,54,95.4
8/23/2014 2:12:44 AM,Content/Templates/40654/site/images/marker-1.gif,1262,50,96
8/23/2014 2:12:44 AM,Content/Templates/40654/site/images/link-marker.gif,1315,82,93.8
8/23/2014 2:12:44 AM,Content/Templates/40654/site/images/header-tail.gif,1507,308,79.6
8/23/2014 2:12:45 AM,Content/Templates/40654/site/images/content-tail.gif,1366,165,87.9
8/23/2014 2:12:45 AM,Content/Templates/40653/site/images/totop.gif,1406,348,75.2
8/23/2014 2:12:45 AM,Content/Templates/40653/site/images/select.gif,1158,100,91.4
8/23/2014 2:12:45 AM,Content/Templates/40653/site/images/border-horiz1.gif,1234,35,97.2
8/23/2014 2:12:45 AM,Content/Templates/40653/site/images/border-horiz.gif,1234,35,97.2
8/23/2014 2:12:45 AM,Content/Templates/40652/site/images/tail-row-nav.gif,1313,108,91.8
8/23/2014 2:12:45 AM,Content/Templates/40652/site/images/tail-item-hover.gif,1122,64,94.3
8/23/2014 2:12:45 AM,Content/Templates/40652/site/images/icon-3.gif,2296,1091,52.5
8/23/2014 2:12:45 AM,Content/Templates/40652/site/images/icon-2.gif,2294,1089,52.5
8/23/2014 2:12:46 AM,Content/Templates/40652/site/images/icon-1.gif,2328,1123,51.8
8/23/2014 2:12:46 AM,Content/Templates/40652/site/images/border-horiz.gif,1240,35,97.2
8/23/2014 2:12:46 AM,Content/Templates/40647/site/images/border-item.gif,1237,38,96.9
8/23/2014 2:12:46 AM,Content/Templates/40601/site/images/spacer.gif,43,43,0
8/23/2014 2:12:46 AM,Content/Templates/40548/site/images/submenu-separator.gif,1243,43,96.5
8/23/2014 2:12:46 AM,Content/Templates/40548/site/images/slider-tail.gif,1251,44,96.5
8/23/2014 2:12:46 AM,Content/Templates/40548/site/images/menu-border-top.gif,1249,50,96
8/23/2014 2:12:46 AM,Content/Templates/40548/site/images/menu-border-bot.gif,1249,50,96
8/23/2014 2:12:46 AM,Content/Templates/40548/site/images/menu-arrow.gif,1171,48,95.9
8/23/2014 2:12:46 AM,Content/Templates/40548/site/images/loading.gif,771,771,0
8/23/2014 2:12:46 AM,Content/Templates/40548/site/images/header-tail.gif,1243,36,97.1
8/23/2014 2:12:47 AM,Content/Templates/40505/site/images/tail-top.gif,1202,71,94.1
8/23/2014 2:12:47 AM,Content/Templates/40505/site/images/tail-body.gif,15976,14918,6.6
8/23/2014 2:12:47 AM,Content/Templates/40505/site/images/tail-bg-quote.gif,1381,182,86.8
8/23/2014 2:12:47 AM,Content/Templates/40505/site/images/loading.gif,771,771,0
8/23/2014 2:12:47 AM,Content/Templates/40505/site/images/border-item.gif,1305,106,91.9
8/23/2014 2:12:47 AM,Content/Templates/40505/site/images/bg-hover-box1.gif,3543,2344,33.8
8/23/2014 2:12:47 AM,Content/Templates/40461/site/images/tail-nav.gif,1516,317,79.1
8/23/2014 2:12:47 AM,Content/Templates/40461/site/images/tail-nav-mobil.gif,2105,1047,50.3
8/23/2014 2:12:47 AM,Content/Templates/40461/site/images/tail-item-hover.gif,1363,164,88
8/23/2014 2:12:48 AM,Content/Templates/40461/site/images/tail-header.gif,14048,12849,8.5
8/23/2014 2:12:48 AM,Content/Templates/40461/site/images/tail-btn.gif,1227,169,86.2
8/23/2014 2:12:48 AM,Content/Templates/40461/site/images/tail-border-footer.gif,1234,35,97.2
8/23/2014 2:12:48 AM,Content/Templates/40461/site/images/tail-body.gif,26840,25709,4.2
8/23/2014 2:12:48 AM,Content/Templates/40461/site/images/tail-bg-ul.gif,1811,753,58.4
8/23/2014 2:12:48 AM,Content/Templates/40461/site/images/tail-bg-quote.gif,1379,180,86.9
8/23/2014 2:12:48 AM,Content/Templates/40461/site/images/tail-bg-box-slider.gif,14930,13872,7.1
8/23/2014 2:12:48 AM,Content/Templates/40461/site/images/prev.gif,2246,1188,47.1
8/23/2014 2:12:48 AM,Content/Templates/40461/site/images/next.gif,2265,1207,46.7
8/23/2014 2:12:48 AM,Content/Templates/40461/site/images/border-slider-top.gif,1455,256,82.4
8/23/2014 2:12:49 AM,Content/Templates/40461/site/images/border-slider-bottom.gif,1464,265,81.9
8/23/2014 2:12:49 AM,Content/Templates/40461/site/images/border-item.gif,1419,220,84.5
8/23/2014 2:12:49 AM,Content/Templates/40461/site/images/bg-menu-icon.gif,1406,275,80.4
8/23/2014 2:12:49 AM,Content/Templates/40461/site/images/bg-mail.gif,1829,771,57.8
8/23/2014 2:12:49 AM,Content/Templates/40461/site/images/bg-box-phone.gif,1468,410,72.1
8/23/2014 2:12:49 AM,Content/Templates/40454/site/images/spacer.gif,43,43,0
8/23/2014 2:12:49 AM,Content/Templates/40454/site/images/preloader.gif,6091,3979,34.7
8/23/2014 2:12:49 AM,Content/Templates/40452/site/images/tail-item-320.gif,1821,690,62.1
8/23/2014 2:12:49 AM,Content/Templates/40452/site/images/tail-box-btn.gif,2133,934,56.2
8/23/2014 2:12:49 AM,Content/Templates/40452/site/images/tail-bg-block1.gif,2608,1409,46
8/23/2014 2:12:49 AM,Content/Templates/40452/site/images/body-bg.gif,6049,4991,17.5
8/23/2014 2:12:50 AM,Content/Templates/40452/site/images/bg-box1.gif,2441,1242,49.1
8/23/2014 2:12:50 AM,Content/Templates/40451/site/images/spacer.gif,43,43,0
8/23/2014 2:12:50 AM,Content/Templates/40451/site/images/preloader.gif,6091,3979,34.7
8/23/2014 2:12:50 AM,Content/Templates/40450/site/images/totop.gif,3947,2889,26.8
8/23/2014 2:12:50 AM,Content/Templates/40450/site/images/tail-ul-li.gif,1344,145,89.2
8/23/2014 2:12:50 AM,Content/Templates/40450/site/images/tail-top.gif,1858,800,56.9
8/23/2014 2:12:50 AM,Content/Templates/40450/site/images/tail-search-a.gif,1433,375,73.8
8/23/2014 2:12:50 AM,Content/Templates/40450/site/images/tail-row-top.gif,1172,41,96.5
8/23/2014 2:12:50 AM,Content/Templates/40450/site/images/tail-btn.gif,1332,281,78.9
8/23/2014 2:12:50 AM,Content/Templates/40450/site/images/tail-bg-ul.gif,1534,335,78.2
8/23/2014 2:12:51 AM,Content/Templates/40450/site/images/tail-bg-right-bar.gif,1598,399,75
8/23/2014 2:12:51 AM,Content/Templates/40450/site/images/tail-bg-footer.gif,1474,275,81.3
8/23/2014 2:12:51 AM,Content/Templates/40450/site/images/tail-bg-aside.gif,1548,349,77.5
8/23/2014 2:12:51 AM,Content/Templates/40450/site/images/marker-2.gif,1218,87,92.9
8/23/2014 2:12:51 AM,Content/Templates/40450/site/images/marker-1.gif,1236,37,97
8/23/2014 2:12:51 AM,Content/Templates/40450/site/images/glow-top.gif,57030,55899,2
8/23/2014 2:12:51 AM,Content/Templates/40450/site/images/box-calendar.gif,207430,206372,0.5
8/23/2014 2:12:51 AM,Content/Templates/40450/site/images/border-privacy.gif,1242,43,96.5
8/23/2014 2:12:51 AM,Content/Templates/40450/site/images/border-li--top-menu.gif,1215,84,93.1
8/23/2014 2:12:52 AM,Content/Templates/40450/site/images/bg-h3.gif,1460,261,82.1
8/23/2014 2:12:52 AM,Content/Templates/40311/site/images/tail-main.gif,17926,16795,6.3
8/23/2014 2:12:52 AM,Content/Templates/40311/site/images/tail-list-1.gif,1871,672,64.1
8/23/2014 2:12:52 AM,Content/Templates/40311/site/images/tail-list-1-hover.gif,1819,620,65.9
8/23/2014 2:12:52 AM,Content/Templates/40311/site/images/tail-item.gif,1470,271,81.6
8/23/2014 2:12:52 AM,Content/Templates/40311/site/images/tail-item-menu.gif,1590,532,66.5
8/23/2014 2:12:53 AM,Content/Templates/40311/site/images/tail-item-hover.gif,1474,275,81.3
8/23/2014 2:12:53 AM,Content/Templates/40311/site/images/tail-button.gif,1333,275,79.4
8/23/2014 2:12:53 AM,Content/Templates/40311/site/images/tail-border-vert.gif,1234,35,97.2
8/23/2014 2:12:53 AM,Content/Templates/40311/site/images/tail-border-1.gif,1234,35,97.2
8/23/2014 2:12:53 AM,Content/Templates/40311/site/images/tail-body.gif,13650,12592,7.8
8/23/2014 2:12:53 AM,Content/Templates/40311/site/images/page1-img3.gif,4455,3256,26.9
8/23/2014 2:12:53 AM,Content/Templates/40311/site/images/page1-img2.gif,3950,2751,30.4
8/23/2014 2:12:54 AM,Content/Templates/40311/site/images/page1-img1.gif,4302,3103,27.9
8/23/2014 2:12:54 AM,Content/Templates/40311/site/images/marker-1.gif,1286,87,93.2
8/23/2014 2:12:55 AM,Content/Templates/40311/site/images/main-glow.gif,825388,824257,0.1
8/23/2014 2:12:55 AM,Content/Templates/40310/site/images/tail-part-quote2.gif,1381,182,86.8
8/23/2014 2:12:55 AM,Content/Templates/40310/site/images/pattern-4.gif,1978,779,60.6
8/23/2014 2:12:55 AM,Content/Templates/40310/site/images/pattern-1.gif,3072,1873,39
8/23/2014 2:12:55 AM,Content/Templates/40310/site/images/part-dropcap.gif,3191,2060,35.4
8/23/2014 2:12:55 AM,Content/Templates/40310/site/images/marker-1.gif,1494,295,80.3
8/23/2014 2:12:55 AM,Content/Templates/40310/site/images/logo.gif,5095,3896,23.5
8/23/2014 2:12:55 AM,Content/Templates/40310/site/images/logo-footer.gif,2293,1094,52.3
8/23/2014 2:12:55 AM,Content/Templates/40310/site/images/box-quote-angle.gif,1445,246,83
8/23/2014 2:12:55 AM,Content/Templates/40310/site/images/border-horiz.gif,1234,35,97.2
8/23/2014 2:12:55 AM,Content/Templates/40310/site/images/bg-quote2.gif,1347,148,89
8/23/2014 2:12:55 AM,Content/Templates/40310/site/images/bg-quote1.gif,1347,148,89
8/23/2014 2:12:55 AM,Content/Templates/40263/site/images/quote-tail.gif,1383,182,86.8
8/23/2014 2:12:55 AM,Content/Templates/40263/site/images/quote-bottom.gif,1444,249,82.8
8/23/2014 2:12:56 AM,Content/Templates/40263/site/images/menu-separator.gif,1240,39,96.9
8/23/2014 2:12:56 AM,Content/Templates/40263/site/images/menu-icon-tail.gif,1404,273,80.6
8/23/2014 2:12:56 AM,Content/Templates/40263/site/images/menu-arrow.gif,1195,72,94
8/23/2014 2:12:56 AM,Content/Templates/40263/site/images/button-tail.gif,1477,284,80.8
8/23/2014 2:12:56 AM,Content/Templates/40263/site/images/bg.gif,1962,761,61.2
8/23/2014 2:12:56 AM,Content/Templates/40236/site/images/prettyPhoto/light_square/loader.gif,2545,2506,1.5
8/23/2014 2:12:56 AM,Content/Templates/40236/site/images/prettyPhoto/light_square/default_thumbnail.gif,227,219,3.5
8/23/2014 2:12:56 AM,Content/Templates/40236/site/images/prettyPhoto/light_rounded/loader.gif,2545,2506,1.5
8/23/2014 2:12:56 AM,Content/Templates/40236/site/images/prettyPhoto/light_rounded/default_thumbnail.gif,227,219,3.5
8/23/2014 2:12:57 AM,Content/Templates/40236/site/images/prettyPhoto/facebook/loader.gif,2545,2506,1.5
8/23/2014 2:12:57 AM,Content/Templates/40236/site/images/prettyPhoto/facebook/default_thumbnail.gif,227,219,3.5
8/23/2014 2:12:57 AM,Content/Templates/40236/site/images/prettyPhoto/default/loader.gif,6331,4987,21.2
8/23/2014 2:12:57 AM,Content/Templates/40236/site/images/prettyPhoto/dark_square/loader.gif,2545,2506,1.5
8/23/2014 2:12:57 AM,Content/Templates/40236/site/images/prettyPhoto/dark_square/default_thumbnail.gif,227,219,3.5
8/23/2014 2:12:57 AM,Content/Templates/40236/site/images/prettyPhoto/dark_rounded/loader.gif,2545,2506,1.5
8/23/2014 2:12:57 AM,Content/Templates/40236/site/images/prettyPhoto/dark_rounded/default_thumbnail.gif,227,219,3.5
8/23/2014 2:12:57 AM,Content/Templates/40236/site/images/subsubmenu-tail.gif,1242,35,97.2
8/23/2014 2:12:57 AM,Content/Templates/40236/site/images/submenu-tail.gif,1242,35,97.2
8/23/2014 2:12:58 AM,Content/Templates/40236/site/images/pic1.gif,1242,35,97.2
8/23/2014 2:12:58 AM,Content/Templates/40236/site/images/body-tail.gif,1242,35,97.2
8/23/2014 2:12:58 AM,Content/Templates/40235/site/images/preloader.gif,6091,3979,34.7
8/23/2014 2:12:58 AM,Content/Templates/40234/site/images/preloader.gif,6091,3979,34.7
8/23/2014 2:12:58 AM,Content/Templates/40233/site/images/preloader.gif,6091,3979,34.7
8/23/2014 2:12:58 AM,Content/Templates/40189/site/images/fancybox_loading.gif,3866,3757,2.8
8/23/2014 2:12:58 AM,Content/Templates/40189/site/images/blank.gif,43,43,0
8/23/2014 2:12:58 AM,Content/Templates/40188/site/images/submenu-tail.gif,1256,55,95.6
